TableID,ColumnID,RowID,EntityID
R9VI0ZU0,1,1,http://www.wikidata.org/entity/Q34739
DLGFQQT7,1,2,http://www.wikidata.org/entity/Q19244363
DLGFQQT7,2,2,http://www.wikidata.org/entity/Q22889
10NIEV07,1,2,http://www.wikidata.org/entity/Q19243637
10NIEV07,2,2,http://www.wikidata.org/entity/Q166523
8UHQ8NMW,1,2,http://www.wikidata.org/entity/Q6118
8UHQ8NMW,2,2,http://www.wikidata.org/entity/Q993272
MBGIUSUY,1,2,http://www.wikidata.org/entity/Q30321
MBGIUSUY,2,2,http://www.wikidata.org/entity/Q331380
6RTGWWDZ,1,2,http://www.wikidata.org/entity/Q30390
6RTGWWDZ,2,2,http://www.wikidata.org/entity/Q201597
XT6VVCAV,2,2,http://www.wikidata.org/entity/Q500569
P9XT0D3W,1,2,http://www.wikidata.org/entity/Q23176
P9XT0D3W,2,2,http://www.wikidata.org/entity/Q115025
GPENFXWP,2,2,http://www.wikidata.org/entity/Q156358
2SAD93QZ,1,2,http://www.wikidata.org/entity/Q30406
2SAD93QZ,2,2,http://www.wikidata.org/entity/Q27240
HMVJ3GQE,2,2,http://www.wikidata.org/entity/Q1700226
JG29EIGN,1,1,http://www.wikidata.org/entity/Q718286
JG29EIGN,1,2,http://www.wikidata.org/entity/Q309240
JG29EIGN,2,1,http://www.wikidata.org/entity/Q1045119
JG29EIGN,2,2,http://www.wikidata.org/entity/Q65
SK380FJC,1,1,http://www.wikidata.org/entity/Q212
H5XHPI0F,1,1,http://www.wikidata.org/entity/Q54958752
7L3MPSJV,1,1,http://www.wikidata.org/entity/Q4504080
7L3MPSJV,2,2,http://www.wikidata.org/entity/Q66783956
STDHV4DP,1,1,http://www.wikidata.org/entity/Q1097348
STDHV4DP,1,2,http://www.wikidata.org/entity/Q907311
STDHV4DP,2,1,http://www.wikidata.org/entity/Q65
2KSWHXRR,1,1,http://www.wikidata.org/entity/Q54855
NLNHHO6C,1,1,http://www.wikidata.org/entity/Q1368300
HA2UB096,1,1,http://www.wikidata.org/entity/Q912547
PFU2O7B0,1,1,http://www.wikidata.org/entity/Q415027
Y3OHOKFF,1,1,http://www.wikidata.org/entity/Q20970432
Y3OHOKFF,1,2,http://www.wikidata.org/entity/Q20970432
Y3OHOKFF,2,1,http://www.wikidata.org/entity/Q26504571
Y3OHOKFF,2,2,http://www.wikidata.org/entity/Q207659
UZEGFZUW,1,1,http://www.wikidata.org/entity/Q1150579
MDLMJD0W,1,1,http://www.wikidata.org/entity/Q115708347
OIK1GY47,1,2,http://www.wikidata.org/entity/Q1648925
OIK1GY47,1,3,http://www.wikidata.org/entity/Q593778
OIK1GY47,2,1,http://www.wikidata.org/entity/Q4295431
OIK1GY47,2,2,http://www.wikidata.org/entity/Q1152150
OIK1GY47,2,3,http://www.wikidata.org/entity/Q16682047
OIK1GY47,3,1,http://www.wikidata.org/entity/Q24053265
OIK1GY47,3,2,http://www.wikidata.org/entity/Q7601886
OIK1GY47,3,3,http://www.wikidata.org/entity/Q673
OYFA7N5G,1,2,http://www.wikidata.org/entity/Q51871532
OYFA7N5G,1,3,http://www.wikidata.org/entity/Q6318133
OYFA7N5G,2,1,http://www.wikidata.org/entity/Q39998410
OYFA7N5G,2,2,http://www.wikidata.org/entity/Q931597
OYFA7N5G,2,3,http://www.wikidata.org/entity/Q1152150
OYFA7N5G,3,1,http://www.wikidata.org/entity/Q58439
OYFA7N5G,3,2,http://www.wikidata.org/entity/Q226437
OYFA7N5G,3,3,http://www.wikidata.org/entity/Q19863968
X1KVGKMI,1,1,http://www.wikidata.org/entity/Q2422891
X1KVGKMI,1,2,http://www.wikidata.org/entity/Q1648096
X1KVGKMI,1,3,http://www.wikidata.org/entity/Q250036
X1KVGKMI,2,1,http://www.wikidata.org/entity/Q1152150
X1KVGKMI,2,2,http://www.wikidata.org/entity/Q1152150
X1KVGKMI,2,3,http://www.wikidata.org/entity/Q18281265
X1KVGKMI,3,1,http://www.wikidata.org/entity/Q32884
X1KVGKMI,3,2,http://www.wikidata.org/entity/Q24062866
X1KVGKMI,3,3,http://www.wikidata.org/entity/Q94998134
B72Q14SI,1,1,http://www.wikidata.org/entity/Q17297633
UN5G44P4,1,1,http://www.wikidata.org/entity/Q811165
1P13VPP7,1,1,http://www.wikidata.org/entity/Q17297633
QN3CDMMP,1,1,http://www.wikidata.org/entity/Q17297633
WEABZLPX,1,1,http://www.wikidata.org/entity/Q916333
9TZLWYCL,1,1,http://www.wikidata.org/entity/Q17297633
YRSQJEIL,1,1,http://www.wikidata.org/entity/Q17297633
KCU5BNBL,1,1,http://www.wikidata.org/entity/Q8343709
KPFFDB6X,2,2,http://www.wikidata.org/entity/Q1545471
WW0HANTJ,1,2,http://www.wikidata.org/entity/Q111074
WW0HANTJ,2,1,http://www.wikidata.org/entity/Q674909
WW0HANTJ,2,2,http://www.wikidata.org/entity/Q674909
ZDXHC5ZH,1,1,http://www.wikidata.org/entity/Q242131
ZDXHC5ZH,1,2,http://www.wikidata.org/entity/Q315607
ZDXHC5ZH,2,1,http://www.wikidata.org/entity/Q1137269
ZDXHC5ZH,2,2,http://www.wikidata.org/entity/Q674909
85EJHM3S,1,1,http://www.wikidata.org/entity/Q239763
ZWGLJS7X,1,1,http://www.wikidata.org/entity/Q27564
ZWGLJS7X,1,2,http://www.wikidata.org/entity/Q246
ZWGLJS7X,2,1,http://www.wikidata.org/entity/Q274586
ZWGLJS7X,2,2,http://www.wikidata.org/entity/Q193468
SR5UQHNJ,1,1,http://www.wikidata.org/entity/Q9371541
WRSATFQO,1,1,http://www.wikidata.org/entity/Q5506813
5ARFKJBD,1,1,http://www.wikidata.org/entity/Q7831343
EEQ0K4CX,1,1,http://www.wikidata.org/entity/Q6723
7UWKK70Q,1,1,http://www.wikidata.org/entity/Q6723
OT39F277,1,1,http://www.wikidata.org/entity/Q59150
16WN39MK,1,1,http://www.wikidata.org/entity/Q59148
DOQV03WN,1,1,http://www.wikidata.org/entity/Q59146
O7EV0JL2,1,1,http://www.wikidata.org/entity/Q295305
PHLND4CO,1,1,http://www.wikidata.org/entity/Q56759975
EYSEG1DW,3,3,http://www.wikidata.org/entity/Q41
Z6QJXJF5,1,1,http://www.wikidata.org/entity/Q113997817
0JLTIHOL,1,1,http://www.wikidata.org/entity/Q160236
8I2R4Y25,1,1,http://www.wikidata.org/entity/Q33971
8I2R4Y25,1,2,http://www.wikidata.org/entity/Q16686245
8I2R4Y25,2,1,http://www.wikidata.org/entity/Q60424
8I2R4Y25,2,2,http://www.wikidata.org/entity/Q60424
SPIZOSW1,1,1,http://www.wikidata.org/entity/Q1044413
SPIZOSW1,2,2,http://www.wikidata.org/entity/Q42302
4ZVYC7IO,1,1,http://www.wikidata.org/entity/Q1808857
OL0GBCAH,1,1,http://www.wikidata.org/entity/Q695387
22RW4XSQ,1,1,http://www.wikidata.org/entity/Q20
DXW1TVVD,1,1,http://www.wikidata.org/entity/Q21857526
GKD3ETCU,1,1,http://www.wikidata.org/entity/Q5192923
R9KK199W,1,1,http://www.wikidata.org/entity/Q51139288
R9KK199W,3,1,http://www.wikidata.org/entity/Q32448
ECTUBJYE,1,1,http://www.wikidata.org/entity/Q682070
28NX4BKN,1,1,http://www.wikidata.org/entity/Q3141
UH3DDA1B,1,1,http://www.wikidata.org/entity/Q24609
UH7YFZP7,1,1,http://www.wikidata.org/entity/Q24609
IIK4XMPE,2,2,http://www.wikidata.org/entity/Q21855034
PBWV7IYP,1,1,http://www.wikidata.org/entity/Q1055
IB74N7B3,2,2,http://www.wikidata.org/entity/Q56598082
DX61IAVC,1,1,http://www.wikidata.org/entity/Q26971668
RA68EQL6,1,1,http://www.wikidata.org/entity/Q916333
RA68EQL6,2,2,http://www.wikidata.org/entity/Q19326298
QRL8IVBH,1,1,http://www.wikidata.org/entity/Q160236
VRL33PFO,1,1,http://www.wikidata.org/entity/Q518101
DGHR5ZHM,1,1,http://www.wikidata.org/entity/Q8031961
DGHR5ZHM,2,1,http://www.wikidata.org/entity/Q23756
4N1WS49F,1,1,http://www.wikidata.org/entity/Q4709861
4N1WS49F,2,1,http://www.wikidata.org/entity/Q23778
XP0KPX7L,2,1,http://www.wikidata.org/entity/Q23777
UCLA48FC,2,2,http://www.wikidata.org/entity/Q595448
VRBSYZH8,1,1,http://www.wikidata.org/entity/Q1204826
8RA0YH6B,1,1,http://www.wikidata.org/entity/Q385378
8RA0YH6B,1,2,http://www.wikidata.org/entity/Q2025821
8RA0YH6B,2,1,http://www.wikidata.org/entity/Q183
8RA0YH6B,2,2,http://www.wikidata.org/entity/Q3272868
2HLB6GPC,1,1,http://www.wikidata.org/entity/Q6655
A68WEUOE,1,1,http://www.wikidata.org/entity/Q389735
A68WEUOE,2,1,http://www.wikidata.org/entity/Q4746863
A68WEUOE,2,2,http://www.wikidata.org/entity/Q3378367
CPOKBQDE,1,1,http://www.wikidata.org/entity/Q20811
GMPG5U6Q,1,1,http://www.wikidata.org/entity/Q97055892
P6XHF44S,1,1,http://www.wikidata.org/entity/Q849574
QHZOX1IK,1,1,http://www.wikidata.org/entity/Q322986
6DF72Y56,1,1,http://www.wikidata.org/entity/Q43183
6DF72Y56,1,2,http://www.wikidata.org/entity/Q43183
6DF72Y56,2,1,http://www.wikidata.org/entity/Q36998
6DF72Y56,2,2,http://www.wikidata.org/entity/Q1470406
TF3EDJKM,1,1,http://www.wikidata.org/entity/Q2518196
TF3EDJKM,1,2,http://www.wikidata.org/entity/Q2518196
TF3EDJKM,2,1,http://www.wikidata.org/entity/Q1715
TF3EDJKM,2,2,http://www.wikidata.org/entity/Q1715
YGSKQSKV,1,1,http://www.wikidata.org/entity/Q43183
YGSKQSKV,1,2,http://www.wikidata.org/entity/Q43183
YGSKQSKV,2,1,http://www.wikidata.org/entity/Q365
YGSKQSKV,2,2,http://www.wikidata.org/entity/Q365
P0V3VJRK,1,1,http://www.wikidata.org/entity/Q1068361
P0V3VJRK,1,2,http://www.wikidata.org/entity/Q626608
P0V3VJRK,2,1,http://www.wikidata.org/entity/Q358833
P0V3VJRK,2,2,http://www.wikidata.org/entity/Q2556849
E09Q6C5J,1,1,http://www.wikidata.org/entity/Q43183
E09Q6C5J,1,2,http://www.wikidata.org/entity/Q43183
E09Q6C5J,2,1,http://www.wikidata.org/entity/Q57278
E09Q6C5J,2,2,http://www.wikidata.org/entity/Q49227
08IZY6G9,1,1,http://www.wikidata.org/entity/Q43183
08IZY6G9,1,2,http://www.wikidata.org/entity/Q43183
08IZY6G9,2,1,http://www.wikidata.org/entity/Q3692
08IZY6G9,2,2,http://www.wikidata.org/entity/Q1953
QHNJPWT8,1,1,http://www.wikidata.org/entity/Q134161
TILH3J18,1,1,http://www.wikidata.org/entity/Q3742494
N86193YU,1,1,http://www.wikidata.org/entity/Q18671874
N86193YU,2,2,http://www.wikidata.org/entity/Q173242
N86193YU,3,1,http://www.wikidata.org/entity/Q65079646
N86193YU,3,2,http://www.wikidata.org/entity/Q131450159
QATMMRDW,1,1,http://www.wikidata.org/entity/Q5580
QATMMRDW,1,2,http://www.wikidata.org/entity/Q5580
QATMMRDW,2,1,http://www.wikidata.org/entity/Q173242
QATMMRDW,2,2,http://www.wikidata.org/entity/Q173242
QATMMRDW,3,1,http://www.wikidata.org/entity/Q196653
QATMMRDW,3,2,http://www.wikidata.org/entity/Q7401917
RRR83TMS,1,1,http://www.wikidata.org/entity/Q185905
VQHPBH3L,1,1,http://www.wikidata.org/entity/Q2864737
TZ0KVLGN,1,1,http://www.wikidata.org/entity/Q18813
7RGNNRM8,1,1,http://www.wikidata.org/entity/Q754507
0WPFA2SX,1,1,http://www.wikidata.org/entity/Q11472
0WPFA2SX,1,2,http://www.wikidata.org/entity/Q14674
0WPFA2SX,2,1,http://www.wikidata.org/entity/Q2780100
0WPFA2SX,2,2,http://www.wikidata.org/entity/Q15874141
0WPFA2SX,3,3,http://www.wikidata.org/entity/Q5742662
ETVQ8X6O,1,1,http://www.wikidata.org/entity/Q142
ETVQ8X6O,1,2,http://www.wikidata.org/entity/Q55
ETVQ8X6O,2,1,http://www.wikidata.org/entity/Q3132422
ETVQ8X6O,2,2,http://www.wikidata.org/entity/Q2406820
ETVQ8X6O,3,3,http://www.wikidata.org/entity/Q6013786
ANW9BUYI,1,1,http://www.wikidata.org/entity/Q39998410
TOMJECG9,1,1,http://www.wikidata.org/entity/Q107452821
F6XAG28O,1,1,http://www.wikidata.org/entity/Q931597
EJG2P3L4,1,1,http://www.wikidata.org/entity/Q931597
R26584X5,1,1,http://www.wikidata.org/entity/Q108528616
YK8GVYP2,1,2,http://www.wikidata.org/entity/Q41421
YK8GVYP2,2,1,http://www.wikidata.org/entity/Q21472815
KOWHOL21,1,1,http://www.wikidata.org/entity/Q1456
S5XLNQ57,1,1,http://www.wikidata.org/entity/Q941023
9A0QQWD0,1,1,http://www.wikidata.org/entity/Q105835744
1Z7TZO5Y,1,1,http://www.wikidata.org/entity/Q11172484
B07H2S00,1,1,http://www.wikidata.org/entity/Q17064597
E09TTM0S,2,2,http://www.wikidata.org/entity/Q6846688
L97DPSVD,2,1,http://www.wikidata.org/entity/Q1338800
L97DPSVD,2,2,http://www.wikidata.org/entity/Q51621
UAOROB5E,2,2,http://www.wikidata.org/entity/Q20896033
WRGNL330,1,1,http://www.wikidata.org/entity/Q822930
QND1W2HI,1,1,http://www.wikidata.org/entity/Q42740
A5NBGTVP,1,1,http://www.wikidata.org/entity/Q104848490
A5NBGTVP,1,2,http://www.wikidata.org/entity/Q109324702
A5NBGTVP,2,1,http://www.wikidata.org/entity/Q57244
A5NBGTVP,2,2,http://www.wikidata.org/entity/Q77078
I06QXLMR,1,2,http://www.wikidata.org/entity/Q60467588
I06QXLMR,2,1,http://www.wikidata.org/entity/Q69028
I06QXLMR,2,2,http://www.wikidata.org/entity/Q7298
48MXHK0Q,1,1,http://www.wikidata.org/entity/Q16059687
2VVLNDA8,1,1,http://www.wikidata.org/entity/Q18111
YX5E0PSR,1,1,http://www.wikidata.org/entity/Q17410
8ZIB8A5D,1,1,http://www.wikidata.org/entity/Q106715799
J72PLOMB,1,1,http://www.wikidata.org/entity/Q11816
R9OFLACE,1,1,http://www.wikidata.org/entity/Q10648
OEJ65FJR,1,2,http://www.wikidata.org/entity/Q109833737
OEJ65FJR,2,1,http://www.wikidata.org/entity/Q4030954
OEJ65FJR,2,2,http://www.wikidata.org/entity/Q2231554
F9PDY3NT,1,1,http://www.wikidata.org/entity/Q31687
F9PDY3NT,1,2,http://www.wikidata.org/entity/Q37137
F9PDY3NT,2,1,http://www.wikidata.org/entity/Q2675537
F9PDY3NT,2,2,http://www.wikidata.org/entity/Q19360976
FDDRMIJW,1,1,http://www.wikidata.org/entity/Q8282
QTWJDF9A,1,1,http://www.wikidata.org/entity/Q11081
CUB1T1SE,1,2,http://www.wikidata.org/entity/Q14420068
CUB1T1SE,2,1,http://www.wikidata.org/entity/Q16842924
6U27YPYQ,1,1,http://www.wikidata.org/entity/Q3039938
6U27YPYQ,2,2,http://www.wikidata.org/entity/Q782875
JD0PEAP8,1,1,http://www.wikidata.org/entity/Q3039938
I6SHSS2W,1,2,http://www.wikidata.org/entity/Q7731293
I6SHSS2W,2,1,http://www.wikidata.org/entity/Q2700506
I6SHSS2W,2,2,http://www.wikidata.org/entity/Q247605
A3T8J4JN,1,1,http://www.wikidata.org/entity/Q12822637
CHIL5EXL,1,1,http://www.wikidata.org/entity/Q39018
3LRK5GZX,1,1,http://www.wikidata.org/entity/Q12822637
W0IZ8E7K,1,1,http://www.wikidata.org/entity/Q12822637
J73EJIMZ,1,1,http://www.wikidata.org/entity/Q138
TI5IPBRL,1,1,http://www.wikidata.org/entity/Q410
1RLHV3VU,1,1,http://www.wikidata.org/entity/Q7520
J2JPNYWQ,1,1,http://www.wikidata.org/entity/Q1639438
J2JPNYWQ,2,2,http://www.wikidata.org/entity/Q1026863
7OYIKQX1,1,2,http://www.wikidata.org/entity/Q21069983
7OYIKQX1,2,1,http://www.wikidata.org/entity/Q7341
QH5IUOVU,1,1,http://www.wikidata.org/entity/Q42857
QUUOFFR0,1,1,http://www.wikidata.org/entity/P1593
QUUOFFR0,1,2,http://www.wikidata.org/entity/Q193592
QUUOFFR0,1,3,http://www.wikidata.org/entity/Q280658
QUUOFFR0,2,1,http://www.wikidata.org/entity/Q9448
QUUOFFR0,2,2,http://www.wikidata.org/entity/Q18543
QUUOFFR0,2,3,http://www.wikidata.org/entity/Q18543
QUUOFFR0,3,1,http://www.wikidata.org/entity/Q295525
QUUOFFR0,3,2,http://www.wikidata.org/entity/Q115708347
QUUOFFR0,3,3,http://www.wikidata.org/entity/Q612755
SWQAOYXE,1,1,http://www.wikidata.org/entity/Q56255193
44WXF9VM,1,1,http://www.wikidata.org/entity/Q86198828
WZA5RZ2B,1,1,http://www.wikidata.org/entity/Q51844662
TIWCUA8K,1,1,http://www.wikidata.org/entity/Q160649
TIWCUA8K,2,2,http://www.wikidata.org/entity/Q6823684
92I4Z1QN,1,1,http://www.wikidata.org/entity/Q12152
SMD4H2MW,1,1,http://www.wikidata.org/entity/Q482
SMD4H2MW,1,2,http://www.wikidata.org/entity/Q309
SMD4H2MW,2,1,http://www.wikidata.org/entity/Q16
SMD4H2MW,2,2,http://www.wikidata.org/entity/Q1747689
YPRQXY29,1,1,http://www.wikidata.org/entity/Q289
YPRQXY29,1,2,http://www.wikidata.org/entity/Q309
YPRQXY29,2,1,http://www.wikidata.org/entity/Q36
YPRQXY29,2,2,http://www.wikidata.org/entity/Q34266
1ZBSGT5O,1,1,http://www.wikidata.org/entity/Q96146709
EPSFXFTE,2,1,http://www.wikidata.org/entity/Q34849
PIJGEG7D,1,1,http://www.wikidata.org/entity/Q9941
5MRPQDGZ,1,1,http://www.wikidata.org/entity/Q9941
DFSKIYXV,1,1,http://www.wikidata.org/entity/Q9941
RYBXAGU6,1,1,http://www.wikidata.org/entity/Q94022
3F3A8IY2,1,1,http://www.wikidata.org/entity/Q20284017
7IVPG1D4,1,1,http://www.wikidata.org/entity/Q183405
8CMLNIWC,1,1,http://www.wikidata.org/entity/Q9737
LUSMCQP7,1,1,http://www.wikidata.org/entity/Q1946482
ND8YJG7R,1,1,http://www.wikidata.org/entity/Q125017915
QCQX1JPG,2,2,http://www.wikidata.org/entity/Q5648623
S0QLRT8Z,1,1,http://www.wikidata.org/entity/Q1358782
1Q9AQVZ4,2,2,http://www.wikidata.org/entity/Q2095374
DX5AS6T4,1,1,http://www.wikidata.org/entity/Q330533
6KJ5X8V6,1,1,http://www.wikidata.org/entity/Q17427
KLD75FBA,1,1,http://www.wikidata.org/entity/Q851
RDIFGKUW,1,1,http://www.wikidata.org/entity/Q476446
FJJHB85J,2,2,http://www.wikidata.org/entity/Q29
JOKTLOQL,2,2,http://www.wikidata.org/entity/Q29
NYGNP7RK,2,2,http://www.wikidata.org/entity/Q29
AMTEIF56,1,1,http://www.wikidata.org/entity/Q15996115
